Service,Resource Type,Operation Name,Activity Type,Description,Origin,IsDataAction
Microsoft Compute,Virtual Machines,Deletes PreservedOSDisk on the Virtual Machine.,Microsoft.Compute/virtualMachines/deletePreservedOSDisk/action,Deletes PreservedOSDisk on the Virtual Machine which belongs to Virtual Machine Scale Set with Flexible Orchestration Mode.,"user,system",FALSE
Microsoft Compute,Virtual Machines,Generalize Virtual Machine,Microsoft.Compute/virtualMachines/generalize/action,Sets the virtual machine state to Generalized and prepares the virtual machine for capture,"user,system",FALSE
Microsoft Compute,Virtual Machines,Get Virtual Machine,Microsoft.Compute/virtualMachines/read,Get the properties of a virtual machine,"user,system",FALSE
Microsoft Compute,Virtual Machines,Install OS update patches on virtual machine,Microsoft.Compute/virtualMachines/installPatches/action,Installs available OS update patches on the virtual machine based on parameters provided by user. Assessment results containing list of available patches will also get refreshed as part of this.,"user,system",FALSE
Microsoft Compute,Virtual Machines,Log in to Virtual Machine,Microsoft.Compute/virtualMachines/login/action,Log in to a virtual machine as a regular user,"user,system",TRUE
Microsoft Compute,Virtual Machines,Log in to Virtual Machine as administrator,Microsoft.Compute/virtualMachines/loginAsAdmin/action,Log in to a virtual machine with Windows administrator or Linux root user privileges,"user,system",TRUE
Microsoft Compute,Virtual Machines,Manage the OS via Windows Admin Center as an administrator,Microsoft.Compute/virtualMachines/WACloginAsAdmin/action,Lets you manage the OS of your resource via Windows Admin Center as an administrator,"user,system",TRUE
Microsoft Compute,Virtual Machines,Perform Maintenance Redeploy,Microsoft.Compute/virtualMachines/performMaintenance/action,Performs Maintenance Operation on the VM.,"user,system",FALSE
Microsoft Compute,Virtual Machines,Perform OS Upgrade on Virtual Machine.,Microsoft.Compute/virtualMachines/osUpgradeInternal/action,Perform OS Upgrade on Virtual Machine belonging to Virtual Machine Scale Set with Flexible Orchestration Mode.,"user,system",FALSE
Microsoft Compute,Virtual Machines,Power Off Virtual Machine,Microsoft.Compute/virtualMachines/powerOff/action,Powers off the virtual machine. Note that the virtual machine will continue to be billed.,"user,system",FALSE
Microsoft Compute,Virtual Machines,Reapply a virtual machine's current model,Microsoft.Compute/virtualMachines/reapply/action,Reapplies a virtual machine's current model,"user,system",FALSE
Microsoft Compute,Virtual Machines,Redeploy Virtual Machine,Microsoft.Compute/virtualMachines/redeploy/action,Redeploys virtual machine,"user,system",FALSE
Microsoft Compute,Virtual Machines,Reimage Virtual Machine,Microsoft.Compute/virtualMachines/reimage/action,Reimages virtual machine which is using differencing disk.,"user,system",FALSE
Microsoft Compute,Virtual Machines,Restart Virtual Machine,Microsoft.Compute/virtualMachines/restart/action,Restarts the virtual machine,"user,system",FALSE
Microsoft Compute,Virtual Machines,Retrieve boot diagnostic logs blob URIs,Microsoft.Compute/virtualMachines/retrieveBootDiagnosticsData/action,Retrieves boot diagnostic logs blob URIs,"user,system",FALSE
Microsoft Compute,Virtual Machines,Rollback OSDisk on Virtual Machine after failed OS Upgrade.,Microsoft.Compute/virtualMachines/rollbackOSDisk/action,Rollback OSDisk on Virtual Machine after failed OS Upgrade invoked by Virtual Machine Scale Set with Flexible Orchestration Mode.,"user,system",FALSE
Microsoft Compute,Virtual Machines,Run Command on Virtual Machine,Microsoft.Compute/virtualMachines/runCommand/action,Executes a predefined script on the virtual machine,"user,system",FALSE
Microsoft Compute,Virtual Machines,Simulate Eviction of spot Virtual Machine,Microsoft.Compute/virtualMachines/simulateEviction/action,Simulates the eviction of spot Virtual Machine,"user,system",FALSE
Microsoft Compute,Virtual Machines,Start Virtual Machine,Microsoft.Compute/virtualMachines/start/action,Starts the virtual machine,"user,system",FALSE
Microsoft Compute,Virtual Machines,Upgrade VM Agent,Microsoft.Compute/virtualMachines/upgradeVMAgent/action,Upgrade version of VM Agent on Virtual Machine,"user,system",FALSE
Microsoft Compute,VirtualMachineScaleSet Extensions Role,Get properties of Role in a Virtual Machine Scale Set with the Virtual Machine Runtime Service Extension,Microsoft.Compute/virtualMachineScaleSets/extensions/roles/read,Gets the properties of a Role in a Virtual Machine Scale Set with the Virtual Machine Runtime Service Extension,"user,system",FALSE
Microsoft Compute,VirtualMachineScaleSet Extensions Role,Update properties of Role in a Virtual Machine Scale Set with the Virtual Machine Runtime Service Extension,Microsoft.Compute/virtualMachineScaleSets/extensions/roles/write,Updates the properties of an existing Role in a Virtual Machine Scale Set with the Virtual Machine Runtime Service Extension,"user,system",FALSE
Microsoft Compute,VirtualMachineScaleSetsDisks,Get VirtualMachineScaleSets Disk SAS URI,Microsoft.Compute/virtualMachineScaleSets/disks/beginGetAccess/action,Get the SAS URI of VirtualMachineScaleSets Disk,"user,system",FALSE
